																					Class	Blk	Blk	Blk	QC	QC	QC	QC	QC
																					Type	Blank	Blank	Blank	QC	QC	QC	QC	QC
																					Injection order	1	2	3	4	5	6	7	8
Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct ion name	Post curation result	Fill %	MS/MS included	Formula	Ontology	INCHIKEY	SMILES	Comment	Isotope tracking parent ID	Isotope tracking weight number	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	20180316-GM-Sam-Blkp_180317134522	20180316-GM-Sam-Blkp_180317152511	20180316-GM-Sam-Blkp_180317155828	20180316-GM-Sam-QC1p	20180316-GM-Sam-QC1p_180317072245	20180316-GM-Sam-QC1p_180317090234	20180316-GM-Sam-QC1p_180317104223	20180316-GM-Sam-QC1p_180317122212
0	4.52	107.0485	Unknown	[M+H]+	found in higher mz's MsMs_165; similar chromatogram in higher mz_482; similar chromatogram in higher mz_633; similar chromatogram in higher mz_187; similar chromatogram in higher mz_776; similar chromatogram in higher mz_38	0.625	False	No record	No record	No record	No record	Normalized unit Height	-1	-1	-1	-1	-1	1362.969	20180316-GM-Sam-QC1p_180317122212	107.04842:167620 108.05177:0 109.05513:0		0	0	0	6.321762E-05	5.129985E-05	6.459609E-05	5.272088E-05	6.150045E-05
1	2.89	107.0487	Unknown	[M+H]+	similar chromatogram in higher mz_597; similar chromatogram in higher mz_726; similar chromatogram in higher mz_744; found in higher mz's MsMs_269	0.625	True	No record	No record	No record	No record	Normalized unit Height	-1	-1	-1	-1	-1	668.7477	20180316-GM-Sam-QC1p	107.04865:73144 108.052:0 109.05536:0	77.12129:86 79.1187:789 89.12991:74	0	0	0	2.89701E-05	3.945682E-05	2.983345E-05	2.413672E-05	3.179847E-05
2	2.7	111.0437	Unknown	[M+2ACN+2H]2+	adduct linked to 15_[M+H]+; found in higher mz's MsMs_15	0.5	False	No record	No record	No record	No record	Normalized unit Height	-1	-1	-1	-1	-1	322.7082	20180316-GM-Sam-QC1p_180317090234	111.04369:78289 112.04704:0 113.0504:1436809		0	0	0	2.513435E-05	2.650021E-05	2.973423E-05	2.353282E-05	1.890503E-05
3	6.97	118.0648	Unknown	[M+H]+	similar chromatogram in higher mz_612; similar chromatogram in higher mz_520; similar chromatogram in higher mz_4; similar chromatogram in higher mz_90; similar chromatogram in higher mz_528; similar chromatogram in higher mz_621	0.625	False	No record	No record	No record	No record	Normalized unit Height	-1	-1	-1	-1	-1	10.74178	20180316-GM-Sam-QC1p_180317104223	118.06481:302967 119.06816:0 120.07152:0		0.0007009019	0.0007524287	0	9.899138E-05	8.897532E-05	9.623019E-05	0.0001121146	0.0001085086
4	6.97	121.0279	Unknown	[M+H]+	found in higher mz's MsMs_91; similar chromatogram in higher mz_90; similar chromatogram in higher mz_621; similar chromatogram in higher mz_700	0.625	True	No record	No record	No record	No record	Normalized unit Height	-1	-1	-1	-1	-1	2410.976	20180316-GM-Sam-QC1p	121.02779:159174 122.03114:0 123.0345:0	93.09821:280	0	0	0	6.304395E-05	6.646012E-05	9.90886E-05	7.595907E-05	6.571212E-05
5	5.15	121.0643	Unknown	[M+H]+	similar chromatogram in higher mz_37; similar chromatogram in higher mz_559; similar chromatogram in higher mz_22; similar chromatogram in higher mz_189; similar chromatogram in higher mz_210; similar chromatogram in higher mz_561; similar chromatogram in higher mz_568; similar chromatogram in higher mz_582; similar chromatogram in higher mz_583; similar chromatogram in higher mz_627; similar chromatogram in higher mz_673; similar chromatogram in higher mz_795	0.625	False	No record	No record	No record	No record	Normalized unit Height	-1	-1	-1	-1	-1	1963.501	20180316-GM-Sam-QC1p_180317090234	121.06432:278081 122.06767:0 123.07103:0		0	0	0	0.0001093336	8.580616E-05	0.0001056151	0.0001016257	7.503987E-05
6	4.47	121.0645	Unknown	[M+H]+	found in higher mz's MsMs_42; similar chromatogram in higher mz_663; similar chromatogram in higher mz_578; similar chromatogram in higher mz_391	0.625	True	No record	No record	No record	No record	Normalized unit Height	-1	-1	-1	-1	-1	1385.412	20180316-GM-Sam-QC1p_180317072245	121.06448:109742 122.06783:70026 123.07119:0	91.09344:63 93.11314:707	0	0	0	4.412794E-05	4.171785E-05	4.903282E-05	4.459215E-05	3.802316E-05
